==================================================================
fastsimcoal started on 26/06/2025 at 14:44:46

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
723	1	data unknown	846.756	0	0
724	1	data unknown	994.621	0	0
725	1	data unknown	1212.3	0	0
726	1	data unknown	2053.58	0	0
727	1	data unknown	1188.24	0	0
728	1	data unknown	854.656	0	0
729	1	data unknown	835.934	0	0
730	1	data unknown	1962.77	0	0
731	1	data unknown	2599.9	0	0
732	1	data unknown	1020.66	0	0
733	1	data unknown	381.432	0	0
734	1	data unknown	768.967	0	0
735	1	data unknown	921.345	0	0
736	1	data unknown	972.515	0	0
737	1	data unknown	939.911	0	0
738	1	data unknown	1290.82	0	0
739	1	data unknown	123.405	0	0
740	1	data unknown	2023.94	0	0
741	1	data unknown	604.824	0	0
742	1	data unknown	4092.38	0	0
743	1	data unknown	4132.17	0	0
744	1	data unknown	1401.81	0	0
745	1	data unknown	2214.99	0	0
746	1	data unknown	595.985	0	0
747	1	data unknown	1335.67	0	0
748	1	data unknown	968.422	0	0
749	1	data unknown	2088.64	0	0
750	1	data unknown	983.246	0	0
751	1	data unknown	598.099	0	0
752	1	data unknown	952.999	0	0
753	1	data unknown	4602.38	0	0
754	1	data unknown	1626.63	0	0
755	1	data unknown	961.857	0	0
756	1	data unknown	989.246	0	0
757	1	data unknown	377.846	0	0
758	1	data unknown	1310.66	0	0
759	1	data unknown	1099.66	0	0
760	1	data unknown	756.496	0	0
761	1	data unknown	1584.09	0	0
762	1	data unknown	568.188	0	0
763	1	data unknown	1362.08	0	0
764	1	data unknown	1218.46	0	0
765	1	data unknown	2487.7	0	0
766	1	data unknown	1446.14	0	0
767	1	data unknown	1656.51	0	0
768	1	data unknown	468.712	0	0
769	1	data unknown	1109.76	0	0
770	1	data unknown	485.535	0	0
771	1	data unknown	1308.69	0	0
772	1	data unknown	2024.01	0	0
